timestamp,link_id,state,confidence_score,behavior_score,validation_score,reason,decision,detection_source
2026-01-25T15:49:53.585061,00:00:00:00:00:14:4-00:00:00:00:00:03:32,active,0.993,0.823,0.779,initial_discovery,accept,NORMAL
2026-01-25T15:50:23.585061,00:00:00:00:00:0a:21-00:00:00:00:00:11:35,active,0.966,0.901,0.856,initial_discovery,accept,NORMAL
2026-01-25T15:50:53.585061,00:00:00:00:00:0c:17-00:00:00:00:00:13:27,active,0.898,0.760,0.944,initial_discovery,accept,NORMAL
2026-01-25T15:51:23.585061,00:00:00:00:00:04:16-00:00:00:00:00:05:27,active,0.843,0.914,0.850,initial_discovery,accept,NORMAL
2026-01-25T15:51:53.585061,00:00:00:00:00:08:38-00:00:00:00:00:04:4,active,0.853,0.753,0.871,initial_discovery,accept,NORMAL
2026-01-25T15:52:23.585061,00:00:00:00:00:11:38-00:00:00:00:00:0e:9,active,0.875,0.911,0.851,initial_discovery,accept,NORMAL
2026-01-25T15:52:53.585061,00:00:00:00:00:06:26-00:00:00:00:00:07:28,active,0.816,0.921,0.872,initial_discovery,accept,NORMAL
2026-01-25T15:53:23.585061,00:00:00:00:00:0a:33-00:00:00:00:00:07:16,active,0.909,0.874,0.945,initial_discovery,accept,NORMAL
2026-01-25T15:53:53.585061,00:00:00:00:00:08:5-00:00:00:00:00:0f:20,active,0.802,0.808,0.800,initial_discovery,accept,NORMAL
2026-01-25T15:54:23.585061,00:00:00:00:00:01:13-00:00:00:00:00:05:45,active,0.858,0.729,0.921,initial_discovery,accept,NORMAL
2026-01-25T15:54:53.585061,00:00:00:00:00:0f:21-00:00:00:00:00:0b:33,active,0.969,0.809,0.955,initial_discovery,accept,NORMAL
2026-01-25T15:55:23.585061,00:00:00:00:00:11:18-00:00:00:00:00:14:47,active,0.926,0.753,0.973,initial_discovery,accept,NORMAL
2026-01-25T15:55:53.585061,00:00:00:00:00:13:34-00:00:00:00:00:10:30,active,0.973,0.810,0.893,initial_discovery,accept,NORMAL
2026-01-25T15:56:23.585061,00:00:00:00:00:10:16-00:00:00:00:00:11:36,active,0.865,0.773,0.932,initial_discovery,accept,NORMAL
2026-01-25T15:56:53.585061,00:00:00:00:00:01:36-00:00:00:00:00:0f:35,active,0.869,0.866,0.852,initial_discovery,accept,NORMAL
2026-01-25T15:57:23.585061,00:00:00:00:00:02:30-00:00:00:00:00:0f:7,active,0.980,0.746,0.931,initial_discovery,accept,NORMAL
2026-01-25T15:57:53.585061,00:00:00:00:00:0b:44-00:00:00:00:00:11:12,active,0.993,0.927,0.939,initial_discovery,accept,NORMAL
