Module / Condition,CPU (%),Memory (MB),Network (KB/s),Activation
Decoy Checker (DC) - Normal,0.8 +/- 0.1,2.1 +/- 0.3,0.5 +/- 0.1,Continuous
Decoy Checker (DC) - Attack,1.2 +/- 0.2,2.3 +/- 0.4,0.7 +/- 0.2,Continuous
Link Behavior Analyzer (LBA) - Normal,2.1 +/- 0.3,8.4 +/- 0.7,12.3 +/- 1.2,Continuous
Link Behavior Analyzer (LBA) - Attack,3.5 +/- 0.4,9.1 +/- 0.8,15.6 +/- 1.5,Continuous
Multi-hop Validator (MHV) - Idle,0.5 +/- 0.1,4.2 +/- 0.5,1.2 +/- 0.3,Selective
Multi-hop Validator (MHV) - Active,8.7 +/- 0.9,5.3 +/- 0.6,45.2 +/- 3.8,On-demand
Topology Moderator (TM) - Normal,1.2 +/- 0.2,3.8 +/- 0.4,0.8 +/- 0.2,Continuous
Topology Moderator (TM) - Attack,2.8 +/- 0.3,4.5 +/- 0.5,2.1 +/- 0.4,Continuous
Total TopoSec - Normal,4.6 +/- 0.7,18.5 +/- 1.9,14.8 +/- 1.8,
Total TopoSec - Attack,16.2 +/- 1.8,21.2 +/- 2.3,63.6 +/- 6.1,
